New implementation with a smoothing algorithm using queue data structure:
Initial method: row iterations
    
    1st timing:
        Iteration 5/50: 0.1112833999999907
        Iteration 6/50: 0.12243800000000249
        Iteration 7/50: 0.21661009999999692
        Iteration 8/50: 0.11939250000000357
        Iteration 9/50: 0.11197599999999852
        Iteration 10/50: 0.0901487000000003
        Iteration 11/50: 0.09410290000000998
        Iteration 12/50: 0.11155720000000713
        Iteration 13/50: 0.12584049999999536
        Iteration 14/50: 0.09585790000001282
        Iteration 15/50: 0.18058349999999734
        Iteration 16/50: 0.09150379999999814
        Iteration 17/50: 0.09679780000000449
        Iteration 18/50: 0.10224739999999599
        Iteration 19/50: 0.10514709999999639
        Iteration 20/50: 0.10604220000000453
        Iteration 21/50: 0.12520670000000678
        Iteration 22/50: 0.11085629999999469
        Iteration 23/50: 0.09915259999999648
        Iteration 24/50: 0.11102440000000513
        Iteration 25/50: 0.09460610000000713
        Iteration 26/50: 0.10196620000000678
        Iteration 27/50: 0.11783280000000218
        Iteration 28/50: 0.10757529999999349
        Iteration 29/50: 0.09786850000000413
        Iteration 30/50: 0.0966602000000023
        Iteration 31/50: 0.10223150000000203
        Iteration 32/50: 0.09899189999998725
        Iteration 33/50: 0.1166041999999976
        Iteration 34/50: 0.1120289999999926
        Iteration 35/50: 0.09759669999999687
        Iteration 36/50: 0.10330749999999966
        Iteration 37/50: 0.1056810999999982
        Iteration 38/50: 0.11015910000000417
        Iteration 39/50: 0.10639589999999544
        Iteration 40/50: 0.12814339999999902
        Iteration 41/50: 0.0969934999999964
        Iteration 42/50: 0.10179510000000391
        Iteration 43/50: 0.12475650000000371
        Iteration 44/50: 0.10272700000000157
        Iteration 45/50: 0.11935409999999536
        Iteration 46/50: 0.11650469999999302
        Iteration 47/50: 0.0958434000000068
        Iteration 48/50: 0.09286149999999793
        Iteration 49/50: 0.09199290000000815
        Iteration 50/50: 0.10019839999999647
        Average: 0.11002622600000024

    5th timing:
        Iteration 1/50: 0.09000749999999869
        Iteration 2/50: 0.11466709999999125
        Iteration 3/50: 0.10913879999999665
        Iteration 4/50: 0.13437780000000998
        Iteration 5/50: 0.10676390000000424
        Iteration 6/50: 0.11043670000000816
        Iteration 7/50: 0.10905980000001136
        Iteration 8/50: 0.12375930000001745
        Iteration 9/50: 0.10001700000000824
        Iteration 10/50: 0.11264600000001224
        Iteration 11/50: 0.12523500000000354
        Iteration 12/50: 0.13172790000001555
        Iteration 13/50: 0.10555339999999092
        Iteration 14/50: 0.10558819999999969
        Iteration 15/50: 0.14887139999999022
        Iteration 16/50: 0.15839520000000107
        Iteration 17/50: 0.1205720000000099
        Iteration 18/50: 0.10771109999998885
        Iteration 19/50: 0.10210280000001148
        Iteration 20/50: 0.14435620000000426
        Iteration 21/50: 0.12238940000000298
        Iteration 22/50: 0.10054610000000253
        Iteration 23/50: 0.10994390000001886
        Iteration 24/50: 0.1047582999999861
        Iteration 25/50: 0.1358996000000161
        Iteration 26/50: 0.19908440000000382
        Iteration 27/50: 0.13153090000000134
        Iteration 28/50: 0.11367039999998951
        Iteration 29/50: 0.1163298000000168
        Iteration 30/50: 0.1191065000000151
        Iteration 31/50: 0.14544230000001335
        Iteration 32/50: 0.1324179000000072
        Iteration 33/50: 0.11192760000000135
        Iteration 34/50: 0.09808350000000132
        Iteration 35/50: 0.09609539999999583
        Iteration 36/50: 0.1155311999999924
        Iteration 37/50: 0.1279335000000117
        Iteration 38/50: 0.11397170000000756
        Iteration 39/50: 0.10542929999999728
        Iteration 40/50: 0.1161816999999985
        Iteration 41/50: 0.11172129999999925
        Iteration 42/50: 0.14887929999997596
        Iteration 43/50: 0.12216480000000729
        Iteration 44/50: 0.12620379999998477
        Iteration 45/50: 0.114586399999979
        Iteration 46/50: 0.10393639999998072
        Iteration 47/50: 0.11464200000000346
        Iteration 48/50: 0.12877240000000256
        Iteration 49/50: 0.10791470000000913
        Iteration 50/50: 0.10760270000000105
        0.11927368600000193

    6th timing:
        Iteration 1/50: 0.09500719999999774
        Iteration 2/50: 0.11944640000001527
        Iteration 3/50: 0.11131199999999808
        Iteration 4/50: 0.10958270000000425
        Iteration 5/50: 0.11255909999999858
        Iteration 6/50: 0.151660000000021
        Iteration 7/50: 0.12383560000000671
        Iteration 8/50: 0.13347699999999918
        Iteration 9/50: 0.11074020000000928
        Iteration 10/50: 0.10392240000001607
        Iteration 11/50: 0.11367200000000821
        Iteration 12/50: 0.10860509999997703
        Iteration 13/50: 0.11781239999999116
        Iteration 14/50: 0.1268445999999983
        Iteration 15/50: 0.1457886999999971
        Iteration 16/50: 0.09592829999999708
        Iteration 17/50: 0.10396610000000805
        Iteration 18/50: 0.10807979999998452
        Iteration 19/50: 0.11470669999999927
        Iteration 20/50: 0.10558700000001409
        Iteration 21/50: 0.09707459999998491
        Iteration 22/50: 0.11398539999999002
        Iteration 23/50: 0.10040220000001909
        Iteration 24/50: 0.10456039999999689
        Iteration 25/50: 0.13392279999999346
        Iteration 26/50: 0.09580769999999461
        Iteration 27/50: 0.10202030000002082
        Iteration 28/50: 0.10484489999998914
        Iteration 29/50: 0.10654800000000364
        Iteration 30/50: 0.10536070000000564
        Iteration 31/50: 0.12167009999998868
        Iteration 32/50: 0.11514969999998925
        Iteration 33/50: 0.09962349999997855
        Iteration 34/50: 0.10237009999997326
        Iteration 35/50: 0.10876369999999724
        Iteration 36/50: 0.09957600000001321
        Iteration 37/50: 0.10703119999999444
        Iteration 38/50: 0.09246279999999274
        Iteration 39/50: 0.09932009999999991
        Iteration 40/50: 0.10927440000000388
        Iteration 41/50: 0.1013922000000207
        Iteration 42/50: 0.1090338999999858
        Iteration 43/50: 0.11418619999997759
        Iteration 44/50: 0.10464569999999185
        Iteration 45/50: 0.09854580000001079
        Iteration 46/50: 0.10290539999999737
        Iteration 47/50: 0.10434060000000045
        Iteration 48/50: 0.09990369999999871
        Iteration 49/50: 0.11078589999999622
        Iteration 50/50: 0.11658180000000584
        Average: 0.10989246199999911

    7th timing:
        Iteration 1/50: 0.1260655000000952
        Iteration 2/50: 0.14620090000005348
        Iteration 3/50: 0.12500339999996868
        Iteration 4/50: 0.16731590000006236
        Iteration 5/50: 0.14471959999991668
        Iteration 6/50: 0.14235529999996288
        Iteration 7/50: 0.14681309999991754
        Iteration 8/50: 0.14266989999998714
        Iteration 9/50: 0.12358689999996386
        Iteration 10/50: 0.31911520000005567
        Iteration 11/50: 0.15105990000006386
        Iteration 12/50: 0.1335738999999876
        Iteration 13/50: 0.13412570000002688
        Iteration 14/50: 0.1426433999999972
        Iteration 15/50: 0.13110410000001593
        Iteration 16/50: 0.1367280000000619
        Iteration 17/50: 0.1703747999999905
        Iteration 18/50: 0.16355810000004567
        Iteration 19/50: 0.14240810000001147
        Iteration 20/50: 0.16825760000006085
        Iteration 21/50: 0.14984630000003563
        Iteration 22/50: 0.13955769999995482
        Iteration 23/50: 0.17587719999994533
        Iteration 24/50: 0.18736020000005738
        Iteration 25/50: 0.16437919999998485
        Iteration 26/50: 0.1641045999999733
        Iteration 27/50: 0.20069939999996222
        Iteration 28/50: 0.14565479999998843
        Iteration 29/50: 0.1354506999999785
        Iteration 30/50: 0.10873790000005101
        Iteration 31/50: 0.1699141999999938
        Iteration 32/50: 0.13777430000004642
        Iteration 33/50: 0.11877609999999095
        Iteration 34/50: 0.12333760000001348
        Iteration 35/50: 0.1759037999999009
        Iteration 36/50: 0.1276458999999477
        Iteration 37/50: 0.1199956000000384
        Iteration 38/50: 0.12330199999996694
        Iteration 39/50: 0.1276817000000392
        Iteration 40/50: 0.13490840000008575
        Iteration 41/50: 0.1291026999999758
        Iteration 42/50: 0.1413224000000355
        Iteration 43/50: 0.12467190000006667
        Iteration 44/50: 0.12122040000008383
        Iteration 45/50: 0.11888420000002498
        Iteration 46/50: 0.1473279999999022
        Iteration 47/50: 0.12265889999991941
        Iteration 48/50: 0.1589837000000216
        Iteration 49/50: 0.1450136000000839
        Iteration 50/50: 0.144981600000051
        Average: 0.1468550860000073

    8th timing:
        Iteration 1/50: 0.09741250000001855
        Iteration 2/50: 0.11503609999999753
        Iteration 3/50: 0.13469510000004448
        Iteration 4/50: 0.14656800000000203
        Iteration 5/50: 0.11368290000007164
        Iteration 6/50: 0.10141620000001694
        Iteration 7/50: 0.09858699999995224
        Iteration 8/50: 0.10221320000005107
        Iteration 9/50: 0.12191749999999502
        Iteration 10/50: 0.18110590000003413
        Iteration 11/50: 0.11378060000004098
        Iteration 12/50: 0.13327409999999418
        Iteration 13/50: 0.12232370000003812
        Iteration 14/50: 0.09923460000004525
        Iteration 15/50: 0.11757599999998547
        Iteration 16/50: 0.10488410000004933
        Iteration 17/50: 0.11597810000000663
        Iteration 18/50: 0.10531749999995554
        Iteration 19/50: 0.09835390000000643
        Iteration 20/50: 0.0994577000000163
        Iteration 21/50: 0.1282459999999901
        Iteration 22/50: 0.10579450000000179
        Iteration 23/50: 0.11389410000003863
        Iteration 24/50: 0.10278089999997064
        Iteration 25/50: 0.08882600000004004
        Iteration 26/50: 0.10261609999997745
        Iteration 27/50: 0.11113789999990331
        Iteration 28/50: 0.10814740000000711
        Iteration 29/50: 0.09617719999994279
        Iteration 30/50: 0.1284382999999707
        Iteration 31/50: 0.10728319999998348
        Iteration 32/50: 0.09604489999992438
        Iteration 33/50: 0.10168490000000929
        Iteration 34/50: 0.10875499999997373
        Iteration 35/50: 0.10241320000000087
        Iteration 36/50: 0.09144800000001396
        Iteration 37/50: 0.10352270000009867
        Iteration 38/50: 0.09865239999999176
        Iteration 39/50: 0.10991849999993519
        Iteration 40/50: 0.1150679999999511
        Iteration 41/50: 0.09879560000001675
        Iteration 42/50: 0.09227590000000419
        Iteration 43/50: 0.09467580000000453
        Iteration 44/50: 0.0975081000000273
        Iteration 45/50: 0.09369330000004084
        Iteration 46/50: 0.10683789999995952
        Iteration 47/50: 0.10786729999995259
        Iteration 48/50: 0.10036960000002182
        Iteration 49/50: 0.09493579999991653
        Iteration 50/50: 0.09362850000002254
        Average: 0.10848503400000027

    9th timing:
        Iteration 1/50: 0.09266180000008717
        Iteration 2/50: 0.11205689999997048
        Iteration 3/50: 0.10579649999999674
        Iteration 4/50: 0.10558500000001914
        Iteration 5/50: 0.09791410000002543
        Iteration 6/50: 0.10270509999998012
        Iteration 7/50: 0.09730750000005628
        Iteration 8/50: 0.10889500000007502
        Iteration 9/50: 0.1172614000000749
        Iteration 10/50: 0.11397010000007413
        Iteration 11/50: 0.11641050000002906
        Iteration 12/50: 0.16055410000001302
        Iteration 13/50: 0.16084520000003977
        Iteration 14/50: 0.14044479999995474
        Iteration 15/50: 0.11506969999993544
        Iteration 16/50: 0.09941119999996317
        Iteration 17/50: 0.13089160000004085
        Iteration 18/50: 0.11968360000003031
        Iteration 19/50: 0.10142259999997805
        Iteration 20/50: 0.14165969999999106
        Iteration 21/50: 0.10184140000001207
        Iteration 22/50: 0.0967160000000149
        Iteration 23/50: 0.12165660000005118
        Iteration 24/50: 0.12311069999998381
        Iteration 25/50: 0.10920720000001438
        Iteration 26/50: 0.10586840000007669
        Iteration 27/50: 0.09846359999994547
        Iteration 28/50: 0.12148920000004182
        Iteration 29/50: 0.14588709999998173
        Iteration 30/50: 0.10389889999999014
        Iteration 31/50: 0.10329449999994722
        Iteration 32/50: 0.10393769999996039
        Iteration 33/50: 0.10289639999996325
        Iteration 34/50: 0.10814879999998084
        Iteration 35/50: 0.1374546999999211
        Iteration 36/50: 0.10723150000001169
        Iteration 37/50: 0.10043080000002647
        Iteration 38/50: 0.13137099999994462
        Iteration 39/50: 0.12191849999999249
        Iteration 40/50: 0.12315070000011019
        Iteration 41/50: 0.10549460000004274
        Iteration 42/50: 0.09995720000006258
        Iteration 43/50: 0.10702749999995831
        Iteration 44/50: 0.08983080000007249
        Iteration 45/50: 0.09113999999999578
        Iteration 46/50: 0.09670870000002196
        Iteration 47/50: 0.13692119999996066
        Iteration 48/50: 0.1001854999999523
        Iteration 49/50: 0.11297179999996843
        Iteration 50/50: 0.1006516999999576
        Average: 0.11298818200000596

    10th timing:
        Iteration 1/50: 0.11879879999992227
